0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11391,16560,16557,23279,41038,26798,13285,32053,25409,5021,40554,4109,20839,35844,10267,25413,35565,19924,31301,838,40527,4308,24134,13340,15976,23360,34102,7449,5886,25644,34519,1132,17245,40101,40956,11746,4990,6510,7158,25986,30704,6511,21775,28303,15659,9310,7750,12153,7178,24061
0,26119,26118,26115,10979,26110,10981,10982,26109,26099,26097,10973,10990,26096,10994,26093,26090,26089,11000,26088,26081,26077,26073,10991,11007,10970,10967,10935,26172,26169,26163,26159,26156,26155,10943,10944,10945,26122,10946,26147,26146,26143,26142,10958,26137,10962,26132,26123,10965,26152
14012,39126,29812,33895,19297,14630,24444,35315,18461,35988,9535,27149,27759,11554,21136,25149,36191,20971,8563,9359,15816,34348,30439,9364,35746,17579,1852,6030,22093,27617,25209,41348,30341,40469,31294,35830,25780,11012,34422,32828,20969,22077,8193,16049,14446,41455,37988,20265,39417,16007
14307,21162,6058,6510,25440,40889,13032,13541,18635,40852,25303,31041,35584,36125,12681,40008,37777,6691,24428,13321,23502,249,13285,4576,40527,12082,2458,32553,14380,39220,32813,30823,32934,32566,543,22359,4308,41983,25083,30133,9428,514,21775,19370,12105,34942,19367,30502,6222,19363
20985,4848,10556,19542,14286,29167,37988,19547,37992,29148,29181,29126,38021,14237,38034,14234,38038,19620,19633,14226,14219,29091,1592,19531,29195,1660,37818,14390,8570,1644,29381,37848,10527,29323,8553,37884,29269,14323,4814,8529,8528,37929,29217,4836,29200,37945,14210,10509,38106,19674
938,14,0,23533,23532,23531,23529,23528,23527,23526,23522,23520,23518,23516,23515,23512,23509,23508,23507,23506,23503,23502,23500,23497,23536,23541,23545,23549,23590,23588,23585,23584,23583,23582,23581,23579,23576,23575,23493,23574,23570,23569,23568,23567,23565,23564,23556,23555,23552,23550
19796,1774,33150,17540,41745,12430,12817,15203,13297,41663,40576,24784,32422,32581,37692,5022,7259,624,33077,34824,24188,4218,12835,15520,34072,21074,9166,27845,33007,15505,32438,8015,12485,29302,25037,16197,40281,31274,22215,20899,25152,41984,9162,7794,1023,11920,18765,37459,13838,41853
0,26434,26433,26432,26431,26430,26429,26426,26425,26424,26423,26422,26421,26420,26435,26418,26416,26415,26413,26412,26410,26409,26408,26406,26405,26402,26401,26400,26399,26417,26397,26436,26440,26481,26478,26477,26476,26475,26473,26472,26471,26470,26469,26468,26466,26465,26439,26464,26461,26460
6240,31758,25245,26560,37493,34512,10396,22825,8506,21591,1570,17049,667,1571,24967,234,34276,25618,15961,40115,3187,14678,16349,1954,22591,1530,34704,40929,10824,28758,10783,33355,7306,41699,22938,40881,32190,20298,30501,2562,31566,10099,7650,38840,853,38952,13780,23311,18605,11573
7726,14234,35772,32454,41561,37357,25614,25589,13807,40527,4836,14145,7650,39074,24947,26646,27183,41727,38331,25440,13876,18635,16903,18604,38422,16854,23502,12286,29117,21353,24078,4228,6058,12604,41116,19221,4183,37654,25956,34558,14380,19129,12681,4341,16143,12452,14307,40782,21242,643
0,26721,26718,26716,13910,6359,26712,6357,13918,34982,13920,6351,26691,26689,13904,6348,13935,13936,34995,26681,13938,34998,6335,34999,6333,6332,26680,13941,13942,34993,35010,6365,26724,6408,6406,13888,34939,34940,34941,34942,34944,13890,34946,6391,6389,34948,6366,34954,26732,13897
22046,34939,6189,21169,32637,37730,25045,16874,40279,18664,4202,37540,6626,5518,494,27155,13091,27103,6351,6250,10931,19483,10895,33352,19066,8492,1303,567,3940,13612,13745,38201,29332,29358,7149,6710,9262,20771,7175,12053,339,2033,34852,4996,4982,23512,35583,24885,35612,1936
15115,6781,32571,26211,35426,4153,38066,34874,32558,34875,12945,1929,1109,26184,9864,33631,40855,16467,7772,8553,29645,11187,16423,33006,12926,39166,19430,35309,11173,1146,9087,26226,14323,11948,8554,18426,30508,37328,40878,23610,11095,7982,19547,17981,26132,11093,7191,7193,27632,35310
35063,12477,11571,11939,38133,27493,28181,30915,25325,9162,14760,26169,31271,4413,8883,17357,3278,18877,39527,32671,241,12512,28057,8804,5084,38234,8824,35597,25883,10077,12570,34368,39569,32613,17825,13301,26958,2970,2969,17726,8895,4606,3282,13493,1307,27254,36612,23752,9641,1973
21967,27018,24941,21395,3067,8833,35782,11978,23022,3083,38745,39649,6390,40312,33959,21464,8778,36857,41585,40702,944,11893,38782,18351,3035,39693,18338,14385,35750,40716,16609,24886,38215,11828,3045,8882,32517,36943,31789,3908,27131,36971,18216,24985,14177,3805,14163,41147,22925,29983
33096,38964,21350,38987,40290,26629,22107,25809,24612,12712,29558,11998,1550,28060,20029,36864,17723,7746,1397,26806,26619,33482,41237,5934,41235,12171,15646,15649,6173,12667,37446,33194,21390,9716,40339,15653,26610,30640,33113,33517,7952,9644,33555,33560,18795,14420,33577,9641,10770,18807
12233,32248,4852,22189,25541,25648,5137,707,11540,41482,23672,2261,35297,38387,7418,17977,7363,32943,12900,6054,29329,19546,41853,28905,13965,16598,22079,19126,26877,18209,34842,35082,28153,9700,12074,26531,5051,12151,33237,21702,30024,21304,37403,30444,12660,27561,18867,4685,7466,33276
938,14,24354,24134,782,7031,25413,1966,282,23058,27580,23543,8780,22203,28836,40457,24815,9305,32323,40846,1993,34575,13079,29226,38049,27557,40109,4423,18287,22214,40449,22390,27342,31882,3297,17615,4593,40706,9455,40737,26729,710,9099,18919,40078,37335,39874,16517,20637,38325
6873,38738,8335,13640,11646,16334,37573,41386,19267,10872,25041,34203,19521,16648,11738,37698,35489,36631,27646,8661,21272,41314,26041,33533,19827,36984,10850,5120,39337,25892,28165,228,19698,16941,9045,21847,13096,20692,32684,14556,942,40054,19917,27333,3025,1198,12720,38728,12773,34506
25248,39734,21710,29870,39569,34847,36237,29969,16509,12789,9367,13720,9641,22888,25696,25642,29091,4276,12518,6729,24933,8276,24024,40962,40957,8141,4504,17306,36047,14083,21072,5532,524,7658,7744,24542,39586,20328,9758,12949,18507,18412,37658,6258,30500,25124,37845,36700,13783,34072
33942,27721,35748,32933,32404,12880,3199,20579,10158,2744,40520,18147,16976,25162,41519,32549,2574,25606,33484,2620,1669,41250,32875,29316,39982,37518,9550,18454,978,18393,14221,9668,14739,39191,28250,9859,35515,38480,32122,34859,6726,36624,29655,25516,22204,22245,17610,34918,24910,19544
41521,4846,17444,39325,29893,3468,36174,9368,37269,16021,24406,33555,22785,18215,2049,5436,23477,38204,32942,11908,25456,17507,40177,16563,29429,8909,10834,39798,10799,17904,25578,32178,29542,7532,17901,11834,35239,6568,24524,13397,17250,40452,23145,9481,475,1913,8208,13672,14256,13509
17821,25642,31650,10144,21072,5552,12789,40957,4276,11332,26169,23333,21710,4814,37845,24188,10312,16509,20722,2525,36700,20636,18336,12202,10356,29091,27881,39586,34564,22867,18339,27131,18072,38328,40000,5275,16230,9540,24214,32315,14431,37183,7110,10213,36971,32135,18589,28985,19304,23516
0,24628,24627,24624,24622,24621,24620,24614,24612,24608,24604,24603,24600,24599,24598,24594,24593,24592,24589,24584,24583,24581,24629,24631,24632,24633,24680,24675,24673,24671,24670,24669,24668,24664,24663,24659,24579,24658,24652,24651,24650,24642,24641,24640,24638,24636,24635,24634,24656,24578
3662,30856,20549,21817,32718,18202,6738,24188,29421,29969,11332,9884,13783,22676,17306,31274,28276,37180,33300,13298,4218,2431,12861,16057,1132,5552,22917,35284,25642,29012,8039,29870,7088,9256,3951,20445,41282,518,27242,31570,16733,5394,4133,39881,5900,2356,15471,39160,39716,22910
29550,24886,5803,107,6154,4782,1979,7521,28166,2722,21138,40765,30775,358,7650,12531,21495,19562,24173,41086,18820,19340,18597,25295,37510,17231,1589,22320,24506,2221,39171,19279,26616,3635,19360,23409,30554,11925,17650,3607,30590,20400,6092,9975,23331,31766,37427,18601,27928,14337
41714,38933,37179,33113,32929,14210,3951,12708,5084,10543,16379,16962,33353,27937,4542,7290,16701,25418,6274,32718,18544,3210,6697,34684,27359,30963,7643,31008,22319,3245,34848,4961,3356,10373,5001,805,40354,31119,19355,19357,4964,0,34982,25112,1004,25121,998,3028,18870,12357
22676,9884,6481,25152,27832,27559,20816,11876,28874,7944,19148,18052,21123,5754,40804,24258,18293,5065,2431,1274,11860,22153,17507,8141,29893,23177,25456,29345,18867,786,2446,41663,28528,13783,36792,12594,9221,4322,21530,9561,27242,3269,1795,31379,36237,27085,6655,40559,33450,41181
23020,32005,35981,20246,29051,13340,29809,4358,36360,1844,41347,7973,1049,14961,39373,16817,13367,26283,16886,21217,8545,23359,14920,31944,8337,41375,1001,26137,40100,15172,4007,41473,18262,17505,24679,15135,12378,731,41438,4933,1279,13644,40815,15079,41401,38584,41378,40217,26386,1859
14915,36465,17356,34034,16103,17422,20836,6510,5230,40852,12285,21162,2869,543,34346,30133,26143,14395,41585,10860,19853,13260,26785,32553,13484,3931,13705,20516,18006,32187,10017,1728,13362,8083,6235,40095,24543,5899,10388,10710,41637,4576,8357,24662,28474,35738,31041,8036,30796,4308
35926,7088,21435,2279,31456,10446,40643,12135,15308,40309,39467,33115,21414,32900,5022,29870,25906,26453,9602,8969,7684,39749,5054,41772,16962,1581,27984,27402,7236,31024,37921,7096,40536,589,38743,24776,37774,30203,25248,22610,1727,2206,630,36237,3682,34915,16070,31164,24542,3301
0,22984,22983,22979,22976,22975,22972,22971,22967,22966,22965,22963,22961,22958,22957,22955,22953,22950,22949,22947,22986,22946,22989,22998,23047,23043,23041,23040,23039,23037,23036,23034,23033,23028,23027,23024,23019,23018,23014,23010,23006,23002,23000,22994,23048,22943,22941,22884,22883,22880
0,10535,10532,32301,32302,10527,32306,32308,10522,10521,10518,32315,32317,10508,32325,10538,10500,10490,10488,10484,10483,32345,32349,10470,10469,10468,32357,32364,10445,10443,10433,10493,10539,32291,32283,32187,10658,32202,10642,32210,32214,10631,10630,32216,10627,10626,32220,10621,10618,10617
0,26155,26153,26151,26150,26149,26148,26146,26145,26144,26142,26141,26140,26138,26136,26135,26134,26133,26132,26131,26129,26128,26127,26126,26125,26124,26123,26122,26156,26159,26162,26163,26220,26217,26215,26212,26209,26207,26206,26199,26198,26197,26196,26194,26193,26120,26192,26181,26179,26176
20993,28093,28094,8733,28119,28120,28129,8712,8708,28164,8704,28165,28177,28180,28183,8737,8691,8680,8679,28219,8674,8673,28240,28248,28250,28252,8664,28266,8656,28277,8649,8686,28280,8741,28085,27929,8828,27931,27939,27941,27943,27946,27948,8811,8809,27983,27987,27991,8789,8742
29720,4731,5115,9121,24702,14752,11388,31942,15209,9926,2425,25167,16965,17986,33157,27725,14336,29516,38858,14077,21953,17931,17377,36853,34513,13782,21000,14687,8081,41762,20235,11291,9794,5257,4320,776,219,11765,14899,33322,23641,18238,32633,11625,10264,15001,5953,27842,15035,36668
0,26022,26018,26017,26016,26015,26014,26013,26012,26011,26010,26009,26008,26006,26004,26003,26002,26001,25999,25998,25997,25996,25994,25993,25992,25991,25990,25989,26023,26024,26025,26026,26072,26071,26069,26067,26066,26064,26059,26057,26054,26052,26051,26049,26048,25987,26047,26045,26043,26042
24543,41973,40647,14281,15135,21593,23067,23046,10503,8036,37993,30254,19111,41401,5446,10526,41838,37563,13031,6492,23195,13705,14708,21428,4586,28680,30845,24999,16103,3931,18006,10543,27670,12436,13396,39336,36765,24084,34314,34521,35616,19494,41113,5004,41585,483,2869,35111,30069,5674
18002,19915,21372,31791,28814,9502,28815,32647,22343,21389,22338,4207,5151,32325,15906,1989,24539,5145,6628,25575,40820,9266,5138,13924,41453,19935,9497,12216,38053,13930,17923,30225,6620,38914,27570,16493,32302,830,26914,16490,18649,15863,40766,24468,5194,24476,38040,7494,22384,32662
17110,36764,18167,32718,17743,12351,7684,36179,24573,25696,17943,1169,9334,41608,3467,31241,6697,34127,27359,29845,11011,1646,10796,16020,4644,16636,18693,34153,27784,19148,23333,19116,22120,10549,19026,20255,38523,24426,23659,22375,16471,19955,11834,8039,5308,3166,2078,18870,29930,9757
